index,Drug_Name,Entry_ID
78,Dapagliflozin,"P13866,P31639,Q8WWX8,Q9NY91"
79,Dehydroepiandrosterone,"P04278,Q8TDU6"
80,Diclofenac sodium,"P02768,P10145,P35354,Q4U2R8"
81,Digoxin,"P40763,P51449"
82,Diltiazem hydrochloride,"P08684,Q13698,Q13936"
83,Doramapimod,"O14578,O15146,O15264,O43318,O94804,O95819,P00519,P00533,P04049,P04792,P05771,P07333,P07947,P07948,P07949,P08631,P09619,P10721,P11362,P12931,P15056,P16234,P17948,P28482,P29317,P29320,P29322,P29323,P29376,P33981,P35590,P35916,P35968,P36888,P42684,P42685,P45983,P45984,P49336,P50613,P51451,P53778,P53779,P54753,P54756,P54760,P54762,P54764,Q00535,Q02763,Q05397,Q05655,Q08345,Q12866,Q14004,Q15375,Q15759,Q16539,Q16832,Q5VT25,Q6DT37,Q8N4C8,Q8NFD2,Q8TD08,Q9BUB5,Q9BWU1,Q9H2G2,Q9HBH9,Q9NYL2,Q9UBE8,Q9UF33,Q9Y5S2"
84,Drospirenone,"P06401,P08235,P10275"
85,ELACRIDAR,"P08684,Q9UNQ0"
86,EMODIN,"O75365,P05177,P20618,P28074,P68400,Q16678,Q8NEV1,Q9C0B1"
87,ENZALUTAMIDE (MDV3100),"P07288,P10275"
88,EPINEPHRINE,"P07550,P08588,P13945,P14416,P35348"
89,ERLOTINIB,"O00444,O14578,O14965,O14976,O15197,O43293,O60674,O75676,O94804,O94956,P00519,P00533,P04626,P07947,P07948,P07949,P08581,P08631,P08684,P09619,P15056,P16234,P17948,P19525,P21802,P21860,P22830,P24941,P29320,P29322,P29376,P29597,P31152,P32298,P33981,P35590,P35916,P35968,P36888,P41240,P42684,P42685,P45984,P51451,P52333,P53779,P54756,P54760,P54762,P57078,Q05397,Q06418,Q08345,Q09013,Q12866,Q13163,Q13418,Q13470,Q15303,Q15375,Q2M2I8,Q52WX2,Q56UN5,Q59H18,Q5S007,Q6DT37,Q6PHR2,Q8N4C8,Q8NE63,Q8NI60,Q8TBX8,Q92630,Q96D53,Q96GD4,Q99759,Q9BUB5,Q9H1R3,Q9H2G2,Q9HBH9,Q9NRP7,Q9NSY1,Q9P2K8,Q9UEE5,Q9UF33,Q9UHD2,Q9UM73,Q9UNQ0,Q9UPE1,Q9UQB9,Q9Y2U5"
90,ETODOLAC,"P23219,P35354"
91,ETOMIDATE,"P14867,P15538"
92,ETOPOSIDE,"P11388,Q02880,Q9Y6Q9"
93,Enalapril maleate,"P12821,Q9BYF1"
94,Epirubicin hydrochloride,P11388
95,Eplerenone,P08235
96,Eprosartan mesylate,"O15438,P30556"
97,Erteberel,"P03372,Q92731"
98,Estradiol,"O15245,O75751,O95718,P03372,P04278,P10275,P11474,Q06278,Q16678,Q92731,Q99527"
99,Estriol,P04278
100,Estrone,"P03372,P04278,P14061,Q92731,Q9UNQ0"
101,Ethinylestradiol,"O15244,P04278,Q06278,Q14994"
102,Ezetimibe,Q9UHC9
103,FENOFIBRATE,"P07148,P12104,P37231,Q9UNQ0"
104,FISETIN,"P11309,P16050,P18054,P22303,P24941,P47989,P51812,P53779,P68400,Q00534,Q15078,Q15349,Q15418,Q16539,Q96GD4"
105,FLUCONAZOLE,"P08684,P11712,P33261"
106,FLUMAZENIL,"P14867,P18507,P31644,P34903,P47869,P48169,Q16445"
107,FLUPHENAZINE,"O95069,P08172,P08908,P08913,P14416,P18089,P18825,P20309,P21728,P21917,P21918,P28223,P28335,P34969,P35348,P35367,P35462,P50406,Q9Y5N1"
108,FLURBIPROFEN,"P17516,P23219,P35354,P42330,P52895,Q04828,Q4U2R8"
109,FLUTAMIDE,"O00748,P10275"
110,FLUTICASONE PROPIONATE,"P04150,P08235"
111,FUROSEMIDE,"O43570,P00915,P00918,P22748,P23280,P28845,P35218,P43166,Q16790,Q9HC97,Q9NZ45,Q9ULX7,Q9UNQ0,Q9Y2D0"
112,Fasudil,"O75116,O75582,P13500,P17612,P60953,Q02156,Q09013,Q13464,Q13976,Q15746,Q16512,Q16513,Q9BYT3"
113,Fenretinide,"O15121,P02753,P13631,P19793,P28702,P48443"
114,Fingolimod,"O95977,P21453,Q99500,Q9H228"
115,Flavopiridol,"O00444,O14578,O14976,O15075,O43318,O60331,O60563,O60674,O75116,O75582,O75676,O76039,O94806,O94921,P00519,P00533,P06493,P11217,P11802,P15735,P16234,P17252,P19525,P20794,P21860,P23443,P24723,P24941,P27037,P29317,P29320,P29376,P29597,P37173,P42685,P45983,P45985,P46734,P48729,P49336,P49759,P49760,P49840,P49841,P50613,P50750,P51812,P51946,P52333,P53779,P54756,P54762,Q00534,Q00535,Q00537,Q02156,Q02779,Q04759,Q04771,Q05655,Q07002,Q09013,Q12866,Q13163,Q13188,Q13464,Q13554,Q13627,Q13705,Q14004,Q14164,Q15078,Q15139,Q15303,Q15349,Q15418,Q15835,Q16512,Q16566,Q16816,Q2M2I8,Q59H18,Q5S007,Q5VT25,Q6XUX3,Q7L7X3,Q86V86,Q86Y07,Q86Z02,Q8IVH8,Q8IYT8,Q8N4C8,Q8N5S9,Q8N752,Q8NE63,Q8TBX8,Q8TD08,Q8TDR2,Q8WTQ7,Q8WU08,Q92918,Q96Q40,Q96RR4,Q99759,Q9BQI3,Q9BWU1,Q9BYT3,Q9BZL6,Q9C098,Q9H093,Q9H2K8,Q9H2X6,Q9H3Y6,Q9H422,Q9HBH9,Q9HCP0,Q9NWZ3,Q9P1W9,Q9UEE5,Q9UK32,Q9UM73,Q9UPZ9,Q9UQM7,Q9Y2U5,Q9Y5S2"
116,G-Strophanthin,"P40763,Q12809,Q13887"
117,GEFITINIB,"O14578,O14976,O15197,O15439,O43293,O75676,O94804,O96017,P00519,P00533,P04626,P07948,P08581,P08631,P15735,P21860,P22830,P29320,P29322,P29376,P31152,P35968,P36888,P42684,P42685,P45984,P50613,P51451,P52333,P53779,P54756,P54760,P54762,Q07912,Q09013,Q13163,Q13882,Q15139,Q15303,Q15375,Q16659,Q16816,Q2M2I8,Q52WX2,Q56UN5,Q86V86,Q8N4C8,Q8NE63,Q8TBX8,Q99759,Q9BUB5,Q9C098,Q9H093,Q9H1R3,Q9H2G2,Q9HBH9,Q9NRP7,Q9NWZ3,Q9UBE8,Q9UEE5,Q9UF33,Q9UNQ0,Q9Y2U5,Q9Y616"
118,GEMFIBROZIL,"P11712,Q9NZ45"
119,GENISTEIN,"O95718,P00533,P03372,P11474,P14061,P17612,P27487,P28074,P41240,P45985,P47989,Q06278,Q92731,Q9UNQ0"
120,GLIPIZIDE,P08684
121,Gallamine triethiodide,P08172
122,Ginkgolide A,P23416
123,Granisetron hydrochloride,"O15244,P46098,Q12809,Q96FL8"
124,H-89,"O75116,O75582,P17612,P23443,P31749,P31751,Q13976,Q9Y243"
125,HALOFANTRINE,"Q12809,Q13936"
126,HALOPERIDOL,"P07305,P07550,P08684,P08908,P08913,P14416,P18089,P18825,P20366,P21728,P21731,P21917,P21918,P23975,P28221,P28222,P28223,P28335,P28566,P30939,P31645,P33261,P34969,P35348,P35367,P35372,P35462,P41595,P50406,Q12809,Q13936,Q15125,Q99720"
127,HYDRALAZINE,"O15527,P05164"
128,HYDROCHLOROTHIAZIDE,"O43570,P00915,P00918,P02768,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
129,HYDROCORTISONE,"P04278,P08235"
130,Hesperetin,"O43570,P04798,P22748,P27487,P43166,P47989,Q16678"
131,Huperzine A,"P06276,P22303"
132,IBUPROFEN,"P23219,P35354,P42574,P49662,P51878,P55211,Q4U2R8"
133,IBUTILIDE FUMARATE,Q12809
134,ILOPERIDONE,"P08172,P08173,P08908,P08913,P11229,P14416,P18089,P18825,P21728,P21917,P21918,P23975,P28221,P28223,P28335,P32239,P34969,P35348,P35367,P35462,P50406,Q01959,Q99720"
135,IMATINIB,"O00444,O14976,O15244,O43570,P00519,P00533,P00915,P00918,P04049,P06239,P07333,P07451,P07948,P09619,P10721,P15056,P16083,P16234,P22748,P29322,P29597,P42684,P42685,P43166,P43405,P45983,P45984,P49759,P51451,P53779,Q08345,Q15046,Q16539,Q16790,Q16832,Q59H18,Q86VL8,Q8NE63,Q8TBX8,Q96FL8,Q9BWU1,Q9HAZ1,Q9NYL2,Q9UEE5,Q9ULX7,Q9UNQ0"
136,IMIQUIMOD,Q9NYK1
137,INDAPAMIDE,"O43570,P00915,P00918,P07451,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
138,INDOMETHACIN,"O15439,P00403,P02768,P09917,P10145,P10275,P23219,P24557,P35354,P42330,P43116,P52895,Q4U2R8,Q8TCC7,Q9Y5Y4,Q9Y6L6"
139,IRINOTECAN,"O15244,P22303,Q86VL8,Q96FL8"
140,ISONIAZID,"O15527,P05164"
141,ISOPROTERENOL,"P07550,P08588,P13945,P21917,P25098"
142,ISRADIPINE,"P11712,Q13936"
143,IVACAFTOR (VX-770),P13569
144,Ibandronate sodium hydrate,P14324
145,Idarubicin hydrochloride,"P11388,Q07889"
146,Idoxuridine,P04183
147,Ilomastat,"O43184,O75173,P08253,P09237,P14780,P22894,P39900,P45452,P51511,P51512,Q9NRE1,Q9ULZ9,Q9UNA0"
148,Isoliquiritigenin,"P09237,P11511,P14061,P14780,P28074,P37059,P45452,Q96P20"
149,KETOPROFEN,"P23219,P29466,P35354,Q4U2R8"
150,KETOROLAC,"O15439,P12104,P23219,P35354,P42574,P49662,P51878,P55211,P60953"
151,L-THYROXINE,"P10827,P10828,P19793,P37231,Q96RI1"
152,LACOSAMIDE,"O43570,P00915,P00918,P07451,P22748,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
153,LAPATINIB,"O00750,O75747,O94804,P00533,P04626,P08684,P09619,P21860,Q12809,Q13163,Q15303,Q9H2G2,Q9UNQ0"
154,LEFLUNOMIDE,"Q02127,Q5RES1"
155,LENALIDOMIDE,"P01375,P01584,Q96SW2"
156,LETROZOLE,"P00918,P11511,P15538"
157,LEVAMISOLE,"P05186,P09923,Q9Y263"
158,LEVOFLOXACIN,"P11388,Q02880"
159,LG-100268,"P10276,P10826,P13631,P19793,P28702,P37231,P48443"
160,LICOFELONE,"O14684,P09917,P20292,P35354"
161,LINAGLIPTIN,"P27487,Q12884"
162,LOPERAMIDE,"O00748,P14416,P21917,P35372,P41143,P41145,Q02763,Q12809"
163,LORATADINE,"P33261,P35367,Q12809,Q96RI1"
164,LOVASTATIN,"P04035,P20701"
165,LY-294002,"O00329,O00459,O00750,P11309,P27986,P42336,P42338,P42345,P48736,P49841,P53350,P78527,Q86V86,Q9H4B4"
166,Levonorgestrel,P04278
167,MACITENTAN,P24530
168,MEBENDAZOLE,"P00519,P35968"
169,MELATONIN,"P05164,P16083,P41595,P48039,P49286,Q9Y5N1"
170,MELOXICAM,"P23219,P35354"
171,MEMANTINE,"P22303,Q05586"
172,MENADIONE,"O60240,P14902,P21980,P30304,P30305,Q00G26,Q06278"
173,METHOTREXATE,"O00206,P00374,P04818,P09429,P15328,P31939,P41440,Q05932,Q96NT5,Q99707"
174,METHOXSALEN,"P08684,P11509,P22303,Q16696"
175,METOLAZONE,"O43570,P00918,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
176,MICONAZOLE,"O15303,P05093,P05177,P08684,P11511,P14902"
177,MIFEPRISTONE,"P04150,P06401,P08235,P08684,P10275,P10827,P10828,P11712"
178,MILRINONE,"O76074,Q13370,Q14432"
179,MIRTAZAPINE,"P14416,P21917,P23975,P28335,P34969,P35348,P35367,P46098"
180,MITOXANTRONE,"P27695,Q06187,Q86VL8,Q96FL8,Q9BYT3,Q9UNQ0"
181,MYRICETIN,"B2RXH2,O75475,P04798,P05067,P06213,P11309,P16233,P22303,P27695,P42858,P43405,P47989,P48736,P53779,P56817,Q15746,Q16539,Q16678,Q96GD4,Q9HC16,Q9HC97"
182,Masoprocol,"P08069,P09917,P11511,P16050,P18054"
183,Medroxyprogesterone acetate,"P04278,P08235,P10275,P42330,P52895,Q04828"
184,Miglitol,"P10253,P14410"
185,Mycophenolic acid,"P12268,P20839,P48449"
186,NALTREXONE,"P35372,P41143,P41145"
187,NAPROXEN,"P29466,P35354,P42330,P52895,Q4U2R8"
188,NARATRIPTAN,"P28221,P28222"
189,NICOTINAMIDE (VITAMIN B3),Q8IXJ6
190,NICOTINIC ACID,Q8TDS4
191,NIFLUMIC ACID,"P02766,P35354,Q9HC97"
